               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.031751,           0.0061749,            0.052914,             0.66897,             0.34441,             0.29252,             0.20861,            0.026345,           0.0049477,            0.049742,           0.0087382,           0.0087382,           0.0087382
                  80,             0.03038,           0.0057974,            0.050791,             0.64072,              0.3493,             0.30657,             0.21896,            0.024637,           0.0047405,             0.04997,           0.0087075,           0.0087075,           0.0087075
                  81,            0.029501,           0.0055353,            0.049446,             0.70767,             0.32898,             0.32921,             0.25348,            0.024473,            0.004594,             0.04924,           0.0086765,           0.0086765,           0.0086765
                  82,            0.030512,           0.0055143,            0.051311,             0.67957,             0.34451,             0.31081,              0.2283,            0.024903,           0.0047345,            0.048926,           0.0086452,           0.0086452,           0.0086452
                  83,            0.032418,           0.0056541,            0.048785,             0.72292,             0.28122,             0.31241,             0.23268,            0.030988,           0.0049669,            0.048746,           0.0086137,           0.0086137,           0.0086137
                  84,            0.035448,           0.0060648,            0.049607,             0.72751,             0.23659,             0.30731,             0.22278,            0.030708,           0.0049032,            0.049764,           0.0085818,           0.0085818,           0.0085818
                  85,            0.032646,           0.0055488,             0.05208,             0.72227,             0.29454,             0.30106,             0.22615,            0.027057,           0.0047588,            0.050046,           0.0085497,           0.0085497,           0.0085497
                  86,            0.030993,           0.0055178,             0.05017,             0.68156,             0.36717,             0.31882,             0.23268,            0.023941,           0.0049428,            0.048907,           0.0085173,           0.0085173,           0.0085173
                  87,            0.031668,           0.0056489,            0.049099,             0.67954,             0.39653,             0.32413,             0.24629,            0.024513,            0.004812,            0.048634,           0.0084846,           0.0084846,           0.0084846
                  88,            0.030864,           0.0056018,            0.049675,             0.67501,             0.35689,              0.3271,              0.2392,             0.02628,           0.0047536,            0.047774,           0.0084516,           0.0084516,           0.0084516
                  89,            0.030234,           0.0054971,             0.04891,             0.64182,             0.35635,             0.34763,             0.27828,            0.023773,           0.0043916,            0.047786,           0.0084184,           0.0084184,           0.0084184
                  90,            0.027875,           0.0055154,            0.047673,             0.65175,             0.39334,             0.36026,             0.26904,            0.024725,           0.0045125,             0.04774,           0.0083849,           0.0083849,           0.0083849
                  91,            0.029058,            0.005479,            0.045743,             0.68933,             0.38555,              0.3537,             0.27351,            0.025607,           0.0046134,            0.047178,           0.0083511,           0.0083511,           0.0083511
                  92,            0.029123,           0.0051848,            0.045995,             0.67084,             0.39463,             0.35288,              0.2635,            0.025274,           0.0045366,            0.046796,           0.0083171,           0.0083171,           0.0083171
                  93,            0.029924,           0.0053987,            0.046179,             0.71577,             0.38315,             0.36254,             0.28602,            0.026417,           0.0042982,            0.046409,           0.0082829,           0.0082829,           0.0082829
                  94,            0.030546,            0.005523,            0.047822,             0.69067,             0.39821,             0.37606,             0.28019,            0.027506,           0.0042983,            0.046726,           0.0082483,           0.0082483,           0.0082483
                  95,            0.030812,           0.0053215,            0.047717,             0.74114,              0.3879,               0.359,             0.28411,            0.023875,           0.0043242,            0.045959,           0.0082136,           0.0082136,           0.0082136
                  96,            0.030409,           0.0052869,            0.047008,             0.72369,              0.3916,             0.36274,             0.28178,            0.023952,           0.0043343,            0.046154,           0.0081786,           0.0081786,           0.0081786
                  97,            0.027808,           0.0050779,            0.045987,             0.76391,             0.33163,             0.35248,             0.27212,            0.023737,           0.0043825,            0.046126,           0.0081433,           0.0081433,           0.0081433
                  98,            0.031593,           0.0049663,            0.046834,             0.70938,              0.3864,             0.36381,              0.2751,            0.024671,           0.0044584,            0.046347,           0.0081078,           0.0081078,           0.0081078
                  99,            0.029029,           0.0052987,            0.043624,             0.80701,             0.30307,             0.36526,             0.28127,            0.023399,           0.0045321,            0.045662,           0.0080721,           0.0080721,           0.0080721
                 100,            0.028053,           0.0052746,            0.046769,             0.71519,             0.39965,              0.3912,             0.29821,            0.020965,           0.0043686,            0.045146,           0.0080362,           0.0080362,           0.0080362
                 101,             0.02727,           0.0052086,            0.043228,             0.74833,             0.32886,             0.39156,              0.2998,            0.022613,           0.0041882,            0.045341,               0.008,               0.008,               0.008
                 102,            0.029501,           0.0051914,            0.045034,             0.70639,             0.39469,             0.37839,             0.29205,            0.022712,           0.0041881,            0.045711,           0.0079636,           0.0079636,           0.0079636
                 103,            0.028303,           0.0049408,            0.045558,             0.70672,             0.43317,             0.37531,             0.29633,            0.021948,           0.0043708,            0.044835,            0.007927,            0.007927,            0.007927
                 104,            0.028017,           0.0051005,            0.043736,             0.71132,             0.38778,             0.38071,              0.2995,            0.021955,           0.0043152,            0.044673,           0.0078902,           0.0078902,           0.0078902
                 105,            0.028133,           0.0049116,            0.045818,             0.48165,              0.5554,             0.37431,             0.29193,            0.021883,           0.0043397,             0.04521,           0.0078532,           0.0078532,           0.0078532
                 106,            0.028519,           0.0050115,            0.043671,             0.75529,             0.35675,             0.37275,             0.28453,            0.022249,           0.0041478,            0.044899,            0.007816,            0.007816,            0.007816
                 107,            0.028603,           0.0050339,             0.04477,             0.74201,             0.35866,             0.40384,             0.31447,            0.022417,            0.004207,            0.044603,           0.0077785,           0.0077785,           0.0077785
                 108,            0.027993,           0.0047579,            0.042271,             0.74908,             0.34164,              0.3655,             0.28781,            0.022593,           0.0043354,             0.04445,           0.0077409,           0.0077409,           0.0077409
                 109,            0.026386,           0.0048156,            0.043806,             0.69909,                 0.4,             0.40611,             0.31736,             0.02104,           0.0041376,            0.044456,           0.0077031,           0.0077031,           0.0077031
                 110,            0.026834,           0.0051633,            0.042106,             0.81788,             0.32131,             0.39579,             0.30988,            0.020753,            0.004212,            0.044456,           0.0076651,           0.0076651,           0.0076651
                 111,            0.027463,           0.0049212,            0.045153,             0.80278,             0.33533,             0.41267,               0.336,            0.020576,            0.004088,            0.043853,           0.0076269,           0.0076269,           0.0076269
                 112,            0.026318,           0.0048093,            0.044243,             0.83233,             0.32841,             0.41557,             0.32961,            0.021887,           0.0041373,             0.04361,           0.0075886,           0.0075886,           0.0075886
                 113,            0.027236,           0.0048815,            0.042846,             0.83755,             0.31546,             0.40134,              0.3158,            0.021081,           0.0042375,            0.044037,           0.0075501,           0.0075501,           0.0075501
                 114,            0.028204,           0.0049651,            0.041691,             0.73056,             0.35073,             0.39102,             0.30187,            0.023593,           0.0041431,            0.043502,           0.0075114,           0.0075114,           0.0075114
                 115,            0.026667,           0.0048443,            0.043148,             0.72728,             0.36112,               0.402,             0.31234,            0.020592,           0.0040253,            0.043928,           0.0074725,           0.0074725,           0.0074725
                 116,            0.027841,           0.0048748,            0.041584,             0.76648,             0.35295,             0.40833,             0.32052,            0.023713,             0.00417,            0.043587,           0.0074335,           0.0074335,           0.0074335
                 117,            0.028614,           0.0048029,            0.039029,             0.80862,             0.32546,              0.4047,             0.31865,            0.022695,           0.0039265,            0.044014,           0.0073943,           0.0073943,           0.0073943
                 118,            0.027316,           0.0046535,            0.040386,             0.75357,             0.34921,             0.39185,             0.30991,            0.021341,           0.0040387,             0.04416,            0.007355,            0.007355,            0.007355
                 119,            0.029262,           0.0052095,            0.041333,             0.86162,             0.30306,             0.40346,             0.32738,            0.021029,           0.0041266,            0.043523,           0.0073155,           0.0073155,           0.0073155
                 120,            0.026449,           0.0048034,            0.041511,             0.59086,             0.46963,             0.40433,             0.32386,            0.020985,           0.0041032,            0.044452,           0.0072758,           0.0072758,           0.0072758
                 121,            0.026792,           0.0049055,            0.040211,             0.82263,             0.30992,             0.42475,             0.33364,            0.021414,            0.004075,            0.042126,           0.0072361,           0.0072361,           0.0072361
                 122,            0.026165,           0.0046948,            0.037625,             0.88588,             0.30811,              0.4258,             0.33448,            0.020642,           0.0040639,            0.042664,           0.0071962,           0.0071962,           0.0071962
                 123,             0.02739,           0.0046592,             0.03858,             0.54481,             0.59275,             0.43687,             0.34379,            0.022726,           0.0040135,            0.042115,           0.0071561,           0.0071561,           0.0071561
                 124,            0.026406,           0.0048156,            0.040122,             0.58991,             0.57724,              0.4579,             0.36692,            0.022765,           0.0038869,             0.04183,            0.007116,            0.007116,            0.007116
                 125,             0.02785,            0.004748,            0.038803,             0.54794,             0.58646,             0.44665,             0.36998,            0.020166,           0.0040072,            0.043027,           0.0070757,           0.0070757,           0.0070757
                 126,            0.027182,           0.0046364,            0.039506,             0.53276,             0.57699,             0.43383,             0.34803,            0.020925,           0.0040365,            0.043025,           0.0070353,           0.0070353,           0.0070353
                 127,            0.026751,            0.004801,            0.038498,             0.62518,             0.48864,             0.43779,             0.35522,            0.020147,           0.0039965,            0.042257,           0.0069948,           0.0069948,           0.0069948
                 128,             0.02612,           0.0047254,            0.037599,             0.64356,             0.47779,             0.44852,              0.3651,            0.020728,           0.0039259,            0.043396,           0.0069541,           0.0069541,           0.0069541
                 129,            0.026581,           0.0045682,            0.037685,             0.55142,             0.56016,             0.45732,              0.3789,            0.019851,           0.0039472,            0.041226,           0.0069134,           0.0069134,           0.0069134
                 130,            0.026671,           0.0046567,            0.036724,             0.65459,             0.49493,             0.44091,             0.36075,            0.020479,           0.0041745,            0.041004,           0.0068726,           0.0068726,           0.0068726
                 131,            0.025933,           0.0045627,            0.037987,             0.57617,             0.54259,               0.447,             0.36439,            0.019906,           0.0041178,             0.04167,           0.0068316,           0.0068316,           0.0068316
                 132,            0.025182,           0.0046146,            0.036469,             0.56613,             0.54264,              0.4495,             0.36249,              0.0201,           0.0040421,            0.040788,           0.0067906,           0.0067906,           0.0067906
                 133,            0.026839,           0.0045565,             0.03746,             0.48083,             0.58889,             0.43784,             0.34908,            0.023144,           0.0041057,            0.040181,           0.0067495,           0.0067495,           0.0067495
                 134,            0.027222,           0.0047872,            0.037477,             0.66845,             0.49927,              0.4646,             0.37409,            0.020908,           0.0038414,            0.040971,           0.0067083,           0.0067083,           0.0067083
